-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2006 through 12/31/2025 in LST
Location: Latitude  1.7203   Longitude -75.1426 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 287.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2006,16.13,17.26,15.17,16.05,13.23,13.15,13.4,15.31,17.19,17.29,16.29,16.14,15.54
ALLSKY_SFC_SW_DWN,2007,17.94,20.16,13.9,14.8,14.21,12.24,15.88,13.35,16.72,16.73,17.1,17.23,15.83
ALLSKY_SFC_SW_DWN,2008,17.74,15.52,15.41,16.33,13.43,13.5,13.8,16.53,15.84,16.4,15.45,17.43,15.62
ALLSKY_SFC_SW_DWN,2009,15.16,18.06,14.75,14.08,15.58,14.21,14.56,15.65,18.14,17.55,17.05,17.77,16.03
ALLSKY_SFC_SW_DWN,2010,19.17,15.54,16.13,15.81,14.56,13.3,14.17,13.47,17.5,17.63,16.22,16.06,15.8
ALLSKY_SFC_SW_DWN,2011,19.24,15.33,16.9,15.47,13.63,13.56,14.7,17.25,16.58,17.89,15.68,16.34,16.06
ALLSKY_SFC_SW_DWN,2012,18.29,17.37,15.46,14.97,14.66,14.9,13.46,15.02,16.74,16.23,18.1,16.93,16.0
ALLSKY_SFC_SW_DWN,2013,17.67,14.3,14.21,16.45,14.41,15.28,13.87,13.95,17.1,18.06,15.93,17.59,15.74
ALLSKY_SFC_SW_DWN,2014,17.96,15.86,13.65,15.01,15.47,13.41,13.25,14.62,18.27,16.08,16.89,17.43,15.65
ALLSKY_SFC_SW_DWN,2015,15.17,17.23,14.55,15.06,14.28,13.09,14.64,14.98,19.89,16.73,16.5,16.51,15.7
