-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2006 through 12/31/2025 in LST
Location: Latitude  2.1156   Longitude -75.2645 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 714.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2006,15.16,16.55,14.47,15.11,15.48,14.01,13.95,14.95,16.2,15.41,15.6,15.24,15.17
ALLSKY_SFC_SW_DWN,2007,17.36,18.82,13.95,14.62,14.92,13.39,16.16,13.26,14.67,16.07,15.59,14.79,15.28
ALLSKY_SFC_SW_DWN,2008,15.62,15.18,15.01,15.05,14.31,14.53,14.18,15.58,15.61,15.34,14.37,15.06,14.99
ALLSKY_SFC_SW_DWN,2009,14.62,16.35,13.96,13.79,15.87,14.75,14.37,15.07,16.86,16.23,15.88,17.22,15.41
ALLSKY_SFC_SW_DWN,2010,18.82,16.21,15.19,16.19,15.13,14.54,15.23,13.94,16.05,15.01,14.46,14.3,15.42
ALLSKY_SFC_SW_DWN,2011,18.43,14.39,15.09,15.45,14.82,14.9,14.97,16.65,15.71,15.64,14.94,15.8,15.58
ALLSKY_SFC_SW_DWN,2012,16.18,16.39,14.73,14.88,15.27,14.94,13.75,14.17,14.55,15.38,16.28,15.22,15.14
ALLSKY_SFC_SW_DWN,2013,16.99,13.81,13.65,15.68,14.56,15.89,14.43,14.09,16.03,16.79,14.14,15.54,15.14
ALLSKY_SFC_SW_DWN,2014,16.83,15.72,13.89,14.95,15.64,14.5,14.45,13.92,16.78,14.91,15.45,16.26,15.27
ALLSKY_SFC_SW_DWN,2015,16.04,16.22,14.33,14.79,14.34,13.58,14.31,13.79,17.31,15.92,15.26,16.11,15.16
ALLSKY_SFC_SW_DWN,2016,17.61,14.46,13.69,14.38,15.04,14.76,14.17,14.36,16.44,16.75,15.19,15.9,15.23
ALLSKY_SFC_SW_DWN,2017,14.72,16.97,14.7,16.35,16.26,15.21,13.61,16.69,17.02,14.71,16.22,16.22,15.71
ALLSKY_SFC_SW_DWN,2018,16.01,15.34,15.65,13.34,15.07,14.28,13.9,15.63,16.5,16.08,15.52,16.66,15.34
ALLSKY_SFC_SW_DWN,2019,14.86,16.36,13.28,14.7,15.42,14.24,14.8,13.74,15.9,15.35,14.98,15.13,14.88
ALLSKY_SFC_SW_DWN,2020,17.13,17.43,14.62,14.27,14.03,15.02,14.94,15.01,16.63,16.07,15.85,16.48,15.62
ALLSKY_SFC_SW_DWN,2021,16.91,14.5,13.64,15.92,15.25,15.21,14.37,14.77,16.51,16.97,15.9,15.95,15.49
ALLSKY_SFC_SW_DWN,2022,16.03,14.04,14.23,14.7,15.15,15.61,14.63,15.94,16.77,16.03,15.27,17.17,15.47
