-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2006 through 12/31/2025 in LST
Location: Latitude  2.3859   Longitude -76.107 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2344.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2006,13.8,14.9,13.84,14.35,14.71,14.04,14.34,15.31,15.01,15.37,13.96,13.82,14.45
ALLSKY_SFC_SW_DWN,2007,16.13,18.17,13.38,14.39,13.66,13.67,16.24,13.28,14.3,14.15,14.0,13.1,14.51
ALLSKY_SFC_SW_DWN,2008,13.96,13.45,14.24,14.8,13.46,14.07,13.64,14.32,15.15,14.06,13.26,13.68,14.01
ALLSKY_SFC_SW_DWN,2009,13.06,14.22,13.82,14.25,15.37,14.04,15.0,14.24,17.28,16.11,15.17,15.46,14.84
ALLSKY_SFC_SW_DWN,2010,17.74,14.91,15.01,14.71,14.11,13.61,14.04,13.84,15.06,14.83,13.06,12.94,14.49
ALLSKY_SFC_SW_DWN,2011,16.07,13.45,14.75,14.32,14.44,14.07,13.98,15.91,15.28,14.59,14.55,13.9,14.62
ALLSKY_SFC_SW_DWN,2012,14.1,14.24,14.33,14.18,14.2,15.08,14.84,14.49,15.19,15.18,14.58,14.23,14.55
ALLSKY_SFC_SW_DWN,2013,15.31,12.75,13.79,15.63,13.67,15.03,14.41,13.95,15.63,15.26,13.58,14.43,14.46
ALLSKY_SFC_SW_DWN,2014,15.11,14.19,13.64,15.17,14.36,14.16,14.75,14.65,15.6,14.37,14.57,15.03,14.63
ALLSKY_SFC_SW_DWN,2015,16.06,15.46,13.93,14.87,14.3,13.88,14.05,14.2,17.26,15.01,14.17,17.32,15.04
ALLSKY_SFC_SW_DWN,2016,16.4,14.2,13.58,14.13,14.5,14.21,14.28,15.23,15.38,15.54,15.24,14.29,14.75
ALLSKY_SFC_SW_DWN,2017,14.72,16.11,13.86,15.62,14.52,14.12,14.43,15.42,16.5,14.25,14.92,15.3,14.97
ALLSKY_SFC_SW_DWN,2018,15.04,15.41,15.13,14.45,14.33,14.03,14.51,16.56,16.42,16.09,14.06,16.53,15.22
