-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2006 through 12/31/2025 in LST
Location: Latitude  3.1274   Longitude -75.3955 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1566.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2006,16.63,17.86,15.24,16.17,16.99,15.94,16.02,16.76,17.25,15.93,16.42,16.31,16.45
ALLSKY_SFC_SW_DWN,2007,18.16,20.45,15.53,16.79,16.61,15.41,18.17,15.24,16.36,16.72,16.75,15.32,16.77
ALLSKY_SFC_SW_DWN,2008,16.19,16.82,16.59,16.95,16.3,16.0,16.3,16.9,17.13,16.5,15.24,16.13,16.42
ALLSKY_SFC_SW_DWN,2009,15.29,17.28,14.93,15.4,17.19,16.35,16.26,16.44,19.12,17.74,16.89,18.57,16.78
ALLSKY_SFC_SW_DWN,2010,19.79,17.56,16.82,16.77,17.06,16.47,16.46,15.43,16.11,16.22,15.2,15.37,16.6
ALLSKY_SFC_SW_DWN,2011,19.26,15.33,16.25,16.41,15.97,16.74,16.41,18.0,17.13,16.45,16.21,16.43,16.73
ALLSKY_SFC_SW_DWN,2012,16.66,18.04,16.05,15.6,17.0,17.05,16.0,16.04,15.58,16.51,16.5,16.57,16.46
ALLSKY_SFC_SW_DWN,2013,18.24,15.49,15.85,17.09,15.19,17.97,16.86,15.87,17.49,17.81,15.15,16.0,16.59
ALLSKY_SFC_SW_DWN,2014,17.16,16.74,15.56,17.03,16.97,16.31,16.71,15.95,17.81,16.09,16.67,17.78,16.73
ALLSKY_SFC_SW_DWN,2015,18.1,17.24,16.33,16.5,16.29,15.15,15.84,15.32,18.15,16.63,16.01,18.5,16.67
ALLSKY_SFC_SW_DWN,2016,18.76,16.18,15.56,15.98,16.51,16.29,16.06,16.12,17.36,17.43,15.73,16.4,16.54
ALLSKY_SFC_SW_DWN,2017,15.51,18.57,16.25,17.65,17.79,16.65,16.0,18.05,17.93,15.86,16.82,16.72,16.97
ALLSKY_SFC_SW_DWN,2018,16.81,15.45,17.3,14.94,16.12,16.05,15.88,16.65,17.57,16.87,16.06,18.08,16.49
ALLSKY_SFC_SW_DWN,2019,16.78,16.88,14.37,15.98,16.45,15.83,16.76,15.51,16.61,16.45,15.88,16.03,16.12
ALLSKY_SFC_SW_DWN,2020,18.3,18.84,16.14,15.91,15.52,16.35,16.32,16.21,17.87,17.15,15.48,16.91,16.74
ALLSKY_SFC_SW_DWN,2021,17.7,15.47,14.24,16.32,17.11,16.31,16.11,16.26,17.96,17.44,16.51,15.8,16.44
ALLSKY_SFC_SW_DWN,2022,16.01,14.97,15.52,15.68,16.3,16.59,16.06,17.04,17.39,16.77,16.01,16.97,16.29
ALLSKY_SFC_SW_DWN,2023,16.38,18.31,14.43,15.76,17.22,17.7,15.74,17.88,18.21,17.52,16.36,16.66,16.84
ALLSKY_SFC_SW_DWN,2024,20.87,17.29,15.74,17.79,17.59,16.76,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,2025,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
GWETROOT,2006,0.65,0.61,0.62,0.65,0.62,0.6,0.56,0.53,0.53,0.55,0.62,0.62,0.6
GWETROOT,2007,0.58,0.54,0.55,0.63,0.61,0.57,0.54,0.53,0.53,0.6,0.62,0.61,0.58
GWETROOT,2008,0.6,0.63,0.71,0.69,0.71,0.72,0.67,0.61,0.61,0.64,0.68,0.72,0.67
GWETROOT,2009,0.64,0.62,0.64,0.72,0.63,0.57,0.54,0.54,0.52,0.54,0.54,0.57,0.59
GWETROOT,2010,0.54,0.52,0.53,0.61,0.7,0.71,0.65,0.56,0.55,0.6,0.75,0.81,0.63
GWETROOT,2011,0.76,0.73,0.78,0.82,0.87,0.75,0.64,0.58,0.56,0.58,0.74,0.87,0.72
GWETROOT,2012,0.8,0.75,0.68,0.72,0.69,0.59,0.56,0.54,0.53,0.6,0.67,0.71,0.65
GWETROOT,2013,0.62,0.62,0.59,0.59,0.69,0.65,0.57,0.55,0.54,0.55,0.63,0.67,0.61
GWETROOT,2014,0.63,0.6,0.61,0.6,0.65,0.6,0.55,0.53,0.54,0.58,0.68,0.71,0.61
GWETROOT,2015,0.62,0.62,0.63,0.64,0.58,0.55,0.54,0.53,0.52,0.53,0.59,0.54,0.57
GWETROOT,2016,0.54,0.51,0.57,0.68,0.66,0.6,0.55,0.53,0.55,0.59,0.62,0.67,0.59
GWETROOT,2017,0.64,0.63,0.71,0.8,0.83,0.74,0.63,0.57,0.54,0.6,0.72,0.7,0.68
GWETROOT,2018,0.75,0.67,0.64,0.69,0.68,0.64,0.59,0.58,0.57,0.62,0.65,0.63,0.64
GWETROOT,2019,0.57,0.59,0.6,0.72,0.68,0.68,0.59,0.55,0.55,0.59,0.67,0.7,0.62
GWETROOT,2020,0.61,0.58,0.62,0.58,0.57,0.59,0.62,0.56,0.55,0.55,0.63,0.66,0.59
GWETROOT,2021,0.71,0.7,0.72,0.79,0.79,0.83,0.76,0.67,0.63,0.62,0.64,0.63,0.71
GWETROOT,2022,0.58,0.61,0.75,0.73,0.73,0.69,0.63,0.59,0.59,0.7,0.76,0.73,0.67
GWETROOT,2023,0.73,0.66,0.72,0.76,0.73,0.66,0.59,0.55,0.54,0.56,0.65,0.61,0.65
GWETROOT,2024,0.6,0.57,0.56,0.6,0.67,0.67,0.62,0.56,0.53,0.58,0.61,0.68,0.6
GWETROOT,2025,0.73,0.73,0.87,0.86,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
